event_year,site,lat,lon,discrepancy,logger_series,median_depth_m,position_rule,prediction,fold,scheme,range_km
2016,Snapper Island North,-16.2924,145.4969,5.2608957298267205,1,13.6,shallow_preferred,0.7767497895682716,Snapper Island North,leave_site_out,25.0
2017,Snapper Island North,-16.2924,145.4969,4.04035081925011,1,,shallow_preferred,0.7767497895682716,Snapper Island North,leave_site_out,25.0
2020,Snapper Island North,-16.2924,145.4969,5.115966535074563,1,,shallow_preferred,0.7767497895682716,Snapper Island North,leave_site_out,25.0
2022,Snapper Island North,-16.2924,145.4969,4.223499478603828,1,,shallow_preferred,0.7767497895682716,Snapper Island North,leave_site_out,25.0
2024,Snapper Island North,-16.2924,145.4969,7.4435563247489664,1,,shallow_preferred,0.7767497895682716,Snapper Island North,leave_site_out,25.0
2016,St Crispin Reef,-16.0733,145.8438,0.8079247213057474,1,,shallow_preferred,-0.1859067707486977,St Crispin Reef,leave_site_out,25.0
2017,St Crispin Reef,-16.0733,145.8438,0.1684520194030891,1,,shallow_preferred,-0.1859067707486977,St Crispin Reef,leave_site_out,25.0
2020,St Crispin Reef,-16.0733,145.8438,88.25537843400438,1,,shallow_preferred,-0.1859067707486977,St Crispin Reef,leave_site_out,25.0
2022,St Crispin Reef,-16.0733,145.8438,-0.410183903401097,1,,shallow_preferred,-0.1859067707486977,St Crispin Reef,leave_site_out,25.0
2024,St Crispin Reef,-16.0733,145.8438,-2.0280244486688037,1,,shallow_preferred,-0.1859067707486977,St Crispin Reef,leave_site_out,25.0
2016,Taylor Reef,-17.8121,146.5703,2.0139693667363594,1,,shallow_preferred,1.0395366746061827,Taylor Reef,leave_site_out,25.0
2017,Taylor Reef,-17.8121,146.5703,0.914864962408548,1,,shallow_preferred,1.0395366746061827,Taylor Reef,leave_site_out,25.0
2020,Taylor Reef,-17.8121,146.5703,0.3831780430515588,1,,shallow_preferred,1.0395366746061827,Taylor Reef,leave_site_out,25.0
2022,Taylor Reef,-17.8121,146.5703,1.8551421834079156,1,,shallow_preferred,1.0395366746061827,Taylor Reef,leave_site_out,25.0
2024,Taylor Reef,-17.8121,146.5703,-0.1915376615305835,1,,shallow_preferred,1.0395366746061827,Taylor Reef,leave_site_out,25.0
2016,Tern Reef,-20.9023,150.0264,-1.95,1,,shallow_preferred,-1.090048250207886,Tern Reef,leave_site_out,25.0
2017,Tern Reef,-20.9023,150.0264,-1.4831185058775374,1,,shallow_preferred,-1.090048250207886,Tern Reef,leave_site_out,25.0
2020,Tern Reef,-20.9023,150.0264,-1.0741594610218153,1,,shallow_preferred,-1.090048250207886,Tern Reef,leave_site_out,25.0
2022,Tern Reef,-20.9023,150.0264,-1.940902751155893,1,,shallow_preferred,-1.090048250207886,Tern Reef,leave_site_out,25.0
2024,Tern Reef,-20.9023,150.0264,-3.845918940878663,1,,shallow_preferred,-1.090048250207886,Tern Reef,leave_site_out,25.0
2016,Thetford Reef,-16.7995,146.1951,1.7851117645284935,1,,shallow_preferred,0.8435787514485114,Thetford Reef,leave_site_out,25.0
2017,Thetford Reef,-16.7995,146.1951,0.2855790394732214,1,,shallow_preferred,0.8435787514485114,Thetford Reef,leave_site_out,25.0
2020,Thetford Reef,-16.7995,146.1951,1.1996534608867409,1,,shallow_preferred,0.8435787514485114,Thetford Reef,leave_site_out,25.0
2022,Thetford Reef,-16.7995,146.1951,0.6869782559540729,1,,shallow_preferred,0.8435787514485114,Thetford Reef,leave_site_out,25.0
2024,Thetford Reef,-16.7995,146.1951,1.199482382797532,1,,shallow_preferred,0.8435787514485114,Thetford Reef,leave_site_out,25.0
2017,Tryon Island,-23.2457,151.7739,0.2693227123175901,1,,shallow_preferred,0.08137384458912333,Tryon Island,leave_site_out,25.0
2020,Tryon Island,-23.2457,151.7739,-3.263919477013788,1,,shallow_preferred,0.08137384458912333,Tryon Island,leave_site_out,25.0
2022,Tryon Island,-23.2457,151.7739,0.7394298817738182,1,,shallow_preferred,0.08137384458912333,Tryon Island,leave_site_out,25.0
2024,Tryon Island,-23.2457,151.7739,-1.813614176405533,1,,shallow_preferred,0.08137384458912333,Tryon Island,leave_site_out,25.0
2020,Tuesday,-10.5519,142.3265,2.989141947783424,1,,shallow_preferred,0.13691704907214677,Tuesday,leave_site_out,25.0
2016,Turner Cay,-21.7031,152.5605,-0.16,1,,all_available,-0.23677201966559053,Turner Cay,leave_site_out,25.0
2017,Turner Cay,-21.7031,152.5605,-0.9409643198063032,1,,all_available,-0.23677201966559053,Turner Cay,leave_site_out,25.0
2020,Turner Cay,-21.7031,152.5605,-1.2722601282566712,1,,all_available,-0.23677201966559053,Turner Cay,leave_site_out,25.0
2022,Turner Cay,-21.7031,152.5605,-1.11,1,,all_available,-0.23677201966559053,Turner Cay,leave_site_out,25.0
2024,Turner Cay,-21.7031,152.5605,-2.5344971807506527,1,,all_available,-0.23677201966559053,Turner Cay,leave_site_out,25.0
2017,Twin Island,-10.4629,142.4358,0.144507896456286,1,,shallow_preferred,0.5594789894194377,Twin Island,leave_site_out,25.0
2020,Tydeman Cay,-13.9715,144.5017,-5.401408447634655,2,2.6,shallow_preferred,0.0,Tydeman Cay,leave_site_out,25.0
2022,Tydeman Cay,-13.9715,144.5017,-3.554377203886662,1,,shallow_preferred,0.0,Tydeman Cay,leave_site_out,25.0
2017,Warraber Island,-10.200800000000001,142.81900000000002,-0.5776570387070736,2,1.2,shallow_preferred,0.01138534077004038,Warraber Island,leave_site_out,25.0
2020,Warraber Island,-10.2007,142.8189,1.78781952851811,1,,all_available,0.01144074768369603,Warraber Island,leave_site_out,25.0
2022,Warraber Island,-10.2007,142.8189,-3.827378726930228,1,,all_available,0.01144074768369603,Warraber Island,leave_site_out,25.0
2017,Willis Island,-16.288,149.96345,-0.004634673557972757,2,,shallow_preferred,0.0,Willis Island,leave_site_out,25.0
2020,Willis Island,-16.28805,149.9634,-5.210242417599298,2,,shallow_preferred,0.0,Willis Island,leave_site_out,25.0
2024,Willis Island,-16.2897,149.9649,-13.17,1,,shallow_preferred,0.0,Willis Island,leave_site_out,25.0
2016,Woiz Reef,-10.1741,143.226,9.436863183715728,1,,all_available,-0.38755246543322247,Woiz Reef,leave_site_out,25.0
2017,Woiz Reef,-10.1744,143.2264,-0.0823360794803385,1,,shallow_preferred,-0.38792901323287987,Woiz Reef,leave_site_out,25.0
2020,Woiz Reef,-10.1744,143.2264,1.1404435733747071,1,,shallow_preferred,-0.38792901323287987,Woiz Reef,leave_site_out,25.0
2022,Woiz Reef,-10.1744,143.2264,-0.5409761267719593,1,,shallow_preferred,-0.38792901323287987,Woiz Reef,leave_site_out,25.0
2016,Yonge Reef,-14.5731,145.6147,-1.8764307465645336,1,,shallow_preferred,-0.9626086399422962,Yonge Reef,leave_site_out,25.0
2017,Yonge Reef,-14.5731,145.6147,-1.6965574448576124,1,,shallow_preferred,-0.9626086399422962,Yonge Reef,leave_site_out,25.0
2020,Yonge Reef,-14.57695,145.61415,-4.376788490280496,2,,shallow_preferred,-0.9507161837947072,Yonge Reef,leave_site_out,25.0
2024,Yonge Reef,-14.5731,145.6147,-1.8594030718308463,1,,shallow_preferred,-0.9626086399422962,Yonge Reef,leave_site_out,25.0
2016,19-131 Reef,-19.7641,149.3786,2.4881428483989625,1,,shallow_preferred,-0.682425630455933,2016,leave_event_out,50.0
2016,19-138 Reef,-19.8024,149.4199,1.615120950831018,1,,shallow_preferred,-0.6918233691366236,2016,leave_event_out,50.0
2016,19-159 Reef,-19.6661,149.9146,-3.01,1,,shallow_preferred,-1.8937453528944397,2016,leave_event_out,50.0
2016,20-104 Reef,-20.0286,149.6933,1.2862792410082275,1,,shallow_preferred,-0.9709905565960931,2016,leave_event_out,50.0
2016,21-062 Reef,-21.028,150.8534,-0.47,1,,shallow_preferred,-1.0051985423772625,2016,leave_event_out,50.0
2016,21-139 Reef,-21.4552,151.4654,-0.64,1,,shallow_preferred,-0.3981126900056914,2016,leave_event_out,50.0
2016,21-187 Reef,-21.4072,151.6414,-0.31,1,,shallow_preferred,-0.3923643874465847,2016,leave_event_out,50.0
2016,21-245 Reef,-21.298,152.4425,0.0,1,,shallow_preferred,-0.5838415816463399,2016,leave_event_out,50.0
2016,21-550 Reef,-21.9471,152.3069,0.0921533394028272,1,,shallow_preferred,-0.20144684251393333,2016,leave_event_out,50.0
2016,21-591 Reef,-21.0266,150.3807,-1.14,1,,all_available,-1.1056375570300356,2016,leave_event_out,50.0
2016,Agincourt Reef Number 1,-16.0398,145.8652,0.6706690019749448,1,,shallow_preferred,0.27208709564771233,2016,leave_event_out,50.0
2016,Arlington Reef,-16.6891,146.0871,1.8697210938847693,1,,shallow_preferred,0.65018023693955,2016,leave_event_out,50.0
2016,Barren Island,-23.1578,151.0707,0.3594048150164696,1,,all_available,0.8329976828224774,2016,leave_event_out,50.0
2016,Border Island,-20.171,149.0319,-1.1542022049138567,1,,shallow_preferred,0.0606296083674835,2016,leave_event_out,50.0
2016,Boult Reef,-23.747,152.2725,-0.15,1,,shallow_preferred,-0.730098654745562,2016,leave_event_out,50.0
2016,Cattle Bay,-18.5691,146.4823,-0.6118180509479609,1,,shallow_preferred,-0.05555363742458426,2016,leave_event_out,50.0
2016,Centipede Reef,-18.7324,147.554,-1.864780516451196,1,,all_available,-1.4067945402344573,2016,leave_event_out,50.0
2016,Chicken Reef,-18.6534,147.7199,-1.9926378104458151,1,,shallow_preferred,-1.5832444925216735,2016,leave_event_out,50.0
2016,Chinaman Reef,-21.9973,152.664,-0.0185903126361312,1,,shallow_preferred,-0.1693266448335582,2016,leave_event_out,50.0
2016,Davies Reef,-18.8065,147.6688,-1.1285137776708165,1,,shallow_preferred,-1.4846308660599918,2016,leave_event_out,50.0
2016,Daydream Island,-20.2557,148.8122,2.6965346641335963,1,,shallow_preferred,0.24836856276790897,2016,leave_event_out,50.0
2016,Dent Island,-20.345,148.9382,2.8108011389618843,1,,shallow_preferred,0.6303247017990327,2016,leave_event_out,50.0
2016,Dip Reef,-18.3999,147.4519,-4.222305870596005,1,,all_available,-1.6750556039518283,2016,leave_event_out,50.0
2016,Double Cone,-20.1046,148.7218,0.4252579264263967,1,,shallow_preferred,-0.0893087022267839,2016,leave_event_out,50.0
2016,Dunk Island,-17.9263,146.1461,-1.417138406452865,1,,shallow_preferred,1.0682083718457014,2016,leave_event_out,50.0
2016,East Cay,-21.4727,152.5662,0.0,1,,shallow_preferred,-0.5942427185527162,2016,leave_event_out,50.0
2016,Erskine Island,-23.498800000000003,151.7748,0.0,2,6.25,shallow_preferred,0.04109237101261586,2016,leave_event_out,50.0
2016,Farquharson Reef,-17.79,146.5315,2.174716284413961,1,,shallow_preferred,0.9301610432566642,2016,leave_event_out,50.0
2016,Feather Reef,-17.51845,146.3896,-0.4887138188329878,2,1.1,shallow_preferred,0.5583805750864204,2016,leave_event_out,50.0
2016,Frankland Islands,-17.227,146.0904,-0.6161032549995185,1,,shallow_preferred,0.2505235798903721,2016,leave_event_out,50.0
2016,Gannet Cay Reef,-21.9784,152.4742,-0.35,1,,shallow_preferred,-0.18751052733006499,2016,leave_event_out,50.0
2016,Geoffrey Bay,-19.1549,146.8685,13.548800298159325,1,,all_available,1.315901539387844,2016,leave_event_out,50.0
2016,"Green Island, Qld",-16.7755,145.9803,-0.3151215766624777,1,,all_available,0.7602569999595999,2016,leave_event_out,50.0
2016,Hastings Reef,-16.5013,146.017,2.161549404886196,1,,shallow_preferred,0.7250712292573958,2016,leave_event_out,50.0
2016,Havannah Island,-18.8472,146.5428,1.2404488095497328,1,,shallow_preferred,0.3378375154227168,2016,leave_event_out,50.0
2016,Hayman Island,-20.0413,148.8819,-0.4657770304710102,1,,shallow_preferred,-0.17854812056767602,2016,leave_event_out,50.0
2016,Hedley Reef,-17.2235,146.4754,0.2598472693507516,1,,shallow_preferred,0.4863593561891098,2016,leave_event_out,50.0
2016,Helix Reef,-18.6201,147.2976,-0.3794971308614112,1,,all_available,-1.34757644476146,2016,leave_event_out,50.0
2016,High Island,-17.1622,146.007,-0.051167761052802,1,,shallow_preferred,0.45084165391458847,2016,leave_event_out,50.0
2016,Horseshoe Reef,-22.0227,152.6166,-0.53,1,,shallow_preferred,-0.16822047044036526,2016,leave_event_out,50.0
2016,Humpy Island,-23.2162,150.9638,-0.0253816807258292,1,,shallow_preferred,1.0284839872063438,2016,leave_event_out,50.0
2016,Hyde Reef,-19.7457,150.0822,-3.13,1,,shallow_preferred,-2.0064224492843414,2016,leave_event_out,50.0
2016,John Brewer,-18.6189,147.0813,-0.3312680887880521,2,4.0,shallow_preferred,-1.0875870692830496,2016,leave_event_out,50.0
2016,Knife Reef,-18.5711,147.5772,-0.9066023963914605,1,,all_available,-1.6717352721756908,2016,leave_event_out,50.0
2016,Lady Musgrave,-23.8884,152.422,-0.611715588038071,1,,shallow_preferred,-0.7233822375267228,2016,leave_event_out,50.0
2016,Langford Island,-20.0877,148.8848,-1.231077688911029,1,,shallow_preferred,-0.17643400475317647,2016,leave_event_out,50.0
2016,Linnet Reef,-14.7811,145.3474,7.626145269299075,1,,shallow_preferred,-0.03383308929450657,2016,leave_event_out,50.0
2016,Lizard Island,-14.694067,145.45705,-0.683264140547168,1,0.6,shallow_preferred,-0.34107821738744104,2016,leave_event_out,50.0
2016,Low Isles,-16.3831,145.5619,3.328373418627904,1,,shallow_preferred,1.2297793653178302,2016,leave_event_out,50.0
2016,Mackay Reef,-16.0399,145.6506,3.142228224810014,1,,shallow_preferred,0.7955524552896668,2016,leave_event_out,50.0
2016,Martin,-14.7553,145.3722,3.718709690722728,1,,all_available,-0.07203448203078057,2016,leave_event_out,50.0
2016,Mast Head Reef,-23.5341,151.7497,0.0,1,,all_available,0.3336378285368148,2016,leave_event_out,50.0
2016,McCulloch Reef,-17.2834,146.4777,-0.1369223508137507,1,,shallow_preferred,0.49817219821478215,2016,leave_event_out,50.0
2016,Michaelmas Reef,-16.5528,146.0454,2.5921159963802545,1,,shallow_preferred,0.7506388419010813,2016,leave_event_out,50.0
2016,Moore Reef,-16.8519,146.2336,1.393790788382177,1,,shallow_preferred,0.6046461515391466,2016,leave_event_out,50.0
2016,North Keppel Island,-23.0864,150.9052,0.4119327808008783,1,,shallow_preferred,0.9431327502318166,2016,leave_event_out,50.0
2016,North Reef,-23.1775,151.9041,0.0,1,5.5,shallow_preferred,-0.40455372070448375,2016,leave_event_out,50.0
2016,One Tree Island,-23.4833,152.0739,0.0746192843859103,2,,all_available,-0.5920028763146123,2016,leave_event_out,50.0
2016,Opal Reef,-16.2034,145.9065,-0.870952350315747,1,,all_available,0.5673074568381892,2016,leave_event_out,50.0
2016,Orpheus Island,-18.601750000000003,146.48829999999998,0.14085842937082727,2,,all_available,-0.02062977822080016,2016,leave_event_out,50.0
2016,Pandora Reef,-18.8164,146.4341,-1.230475505080305,1,,shallow_preferred,0.3586033742619072,2016,leave_event_out,50.0
2016,Peak Island,-23.3413,150.9369,0.7980236209381337,1,,shallow_preferred,1.240597923507906,2016,leave_event_out,50.0
2016,Peart Reef,-17.46705,146.40255,-0.7899533874370499,2,2.4,shallow_preferred,0.5442148250056743,2016,leave_event_out,50.0
2016,Pelican Island,-23.2397,150.8742,0.8965753957673843,1,,shallow_preferred,1.1234439904146725,2016,leave_event_out,50.0
2016,Pelorus Island,-18.5406,146.4888,-0.4118532764787783,1,,shallow_preferred,-0.08620175418393343,2016,leave_event_out,50.0
2016,Penrith Reef,-21.0032,149.8875,-1.99,1,,all_available,-1.1116732621748582,2016,leave_event_out,50.0
2016,Pine Island,-20.378,148.8884,2.758559077194137,1,,shallow_preferred,0.6576859057805262,2016,leave_event_out,50.0
2016,Pompey Reef (No 1),-20.9201,150.5582,-0.8300000000000001,1,,shallow_preferred,-1.0783328728359107,2016,leave_event_out,50.0
2016,Rebe Reef,-19.795,150.1499,-2.99,1,,shallow_preferred,-2.234459713260937,2016,leave_event_out,50.0
2016,Rib Reef,-18.473,146.8774,-0.1772024504667313,1,,shallow_preferred,-0.8324919043625598,2016,leave_event_out,50.0
2016,Seaforth Island,-20.4685,149.0389,1.428689279780309,1,,shallow_preferred,0.6761192499609809,2016,leave_event_out,50.0
2016,Shute and Tancred Islands,-20.3009,148.7983,5.099828531280933,1,,shallow_preferred,0.32743818226056026,2016,leave_event_out,50.0
2016,Small Lagoon Reef,-21.8678,152.5239,0.1231167317810061,1,,shallow_preferred,-0.19575189048371977,2016,leave_event_out,50.0
2016,Snake Reef,-22.0232,152.1928,0.3360573961696979,1,,shallow_preferred,-0.2327053466739286,2016,leave_event_out,50.0
2016,Snapper Island North,-16.2924,145.4969,5.2608957298267205,1,13.6,shallow_preferred,1.3568731785431998,2016,leave_event_out,50.0
2016,St Crispin Reef,-16.0733,145.8438,0.8079247213057474,1,,shallow_preferred,0.36938324899375646,2016,leave_event_out,50.0
2016,Taylor Reef,-17.8121,146.5703,2.0139693667363594,1,,shallow_preferred,0.9173272890364474,2016,leave_event_out,50.0
2016,Tern Reef,-20.9023,150.0264,-1.95,1,,shallow_preferred,-1.1449799961166938,2016,leave_event_out,50.0
2016,Thetford Reef,-16.7995,146.1951,1.7851117645284935,1,,shallow_preferred,0.6557009570183974,2016,leave_event_out,50.0
2016,Turner Cay,-21.7031,152.5605,-0.16,1,,all_available,-0.40110396571963886,2016,leave_event_out,50.0
2016,Woiz Reef,-10.1741,143.226,9.436863183715728,1,,all_available,-0.21651976804250975,2016,leave_event_out,50.0
2016,Yonge Reef,-14.5731,145.6147,-1.8764307465645336,1,,shallow_preferred,-0.8751049075321536,2016,leave_event_out,50.0
2017,19-131 Reef,-19.7641,149.3786,0.1648669316651334,1,,shallow_preferred,-0.37435143320859493,2017,leave_event_out,50.0
2017,19-138 Reef,-19.8024,149.4199,-0.6955989138045973,1,,shallow_preferred,-0.398577321214897,2017,leave_event_out,50.0
2017,19-159 Reef,-19.6661,149.9146,-0.47,1,,shallow_preferred,-1.9823976755481774,2017,leave_event_out,50.0
2017,20-104 Reef,-20.0286,149.6933,-0.2948143010351345,1,,shallow_preferred,-0.8394142973617382,2017,leave_event_out,50.0
2017,21-062 Reef,-21.028,150.8534,-1.3030360356554327,1,,shallow_preferred,-0.6837423464685443,2017,leave_event_out,50.0
2017,21-139 Reef,-21.4552,151.4654,-0.8370985853263284,1,,shallow_preferred,-0.32922970370299753,2017,leave_event_out,50.0
2017,21-187 Reef,-21.4072,151.6414,-0.6164626088503855,1,,shallow_preferred,-0.3422504131612416,2017,leave_event_out,50.0
2017,21-245 Reef,-21.298,152.4425,0.0679673369730013,1,,shallow_preferred,-0.6416052364016666,2017,leave_event_out,50.0
2017,21-550 Reef,-21.9471,152.3069,0.3405297474348194,1,,shallow_preferred,-0.2098060816555823,2017,leave_event_out,50.0
2017,21-591 Reef,-21.0266,150.3807,-2.930230544831029,1,,all_available,-0.7276731310853322,2017,leave_event_out,50.0
2017,Agincourt Reef Number 1,-16.0384,145.8688,-3.146731387263813,1,,all_available,0.25537282513185633,2017,leave_event_out,50.0
2017,Arlington Reef,-16.6891,146.0871,0.8026286572687749,1,,shallow_preferred,0.4823562255511862,2017,leave_event_out,50.0
2017,Barren Island,-23.1578,151.0707,0.6004196062900613,1,,all_available,0.43971912068741675,2017,leave_event_out,50.0
2017,Bedarra Island,-18.0094,146.148,3.5504139827964547,1,,shallow_preferred,0.8062005662742685,2017,leave_event_out,50.0
2017,Border Island,-20.171,149.0319,-0.5385739067167545,1,,shallow_preferred,0.04279072446798506,2017,leave_event_out,50.0
2017,Boult Reef,-23.747,152.2725,-1.5204336353105217,1,,shallow_preferred,-0.45120791596571963,2017,leave_event_out,50.0
2017,Camp Island East,-19.8508,147.9052,6.633293001799257,1,,shallow_preferred,-0.08969304448737823,2017,leave_event_out,50.0
2017,Carter,-14.5238,145.5817,-5.795992916884115,1,,all_available,-0.36376582118867806,2017,leave_event_out,50.0
2017,Cattle Bay,-18.5691,146.4823,-0.2121164498235934,1,5.6,shallow_preferred,-0.2317308064754244,2017,leave_event_out,50.0
2017,Cherepo,-10.6893,142.2799,0.9537529396181982,1,,shallow_preferred,0.595203656620142,2017,leave_event_out,50.0
2017,Chicken Reef,-18.6534,147.7199,-1.3663101188473838,1,,shallow_preferred,-1.487598872001135,2017,leave_event_out,50.0
2017,Chinaman Reef,-21.9973,152.664,0.076558152790821,1,,shallow_preferred,-0.21978716867351497,2017,leave_event_out,50.0
